 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KSJ = K S J (Kilo Sierra Juliett) [-.- ... .---]
 PU1KSK = K S K (Kilo Sierra Kilo) [-.- ... -.-]
 PU1KSL = K S L (Kilo Sierra Lima) [-.- ... .-..]
 PU1KSM = K S M (Kilo Sierra Mike) [-.- ... --]
 PU1KSN = K S N (Kilo Sierra November) [-.- ... -.]
 PU1KSO = K S O (Kilo Sierra Oscar) [-.- ... ---]
 PU1KSP = K S P (Kilo Sierra Papa) [-.- ... .--.]
 PU1KSQ = K S Q (Kilo Sierra Quebec) [-.- ... --.-]
 PU1KSR = K S R (Kilo Sierra Romeo) [-.- ... .-.]
 PU1KST = K S T (Kilo Sierra Tango) [-.- ... -]
 PU1KSV = K S V (Kilo Sierra Victor) [-.- ... ...-]
 PU1KSW = K S W (Kilo Sierra Whiskey) [-.- ... .--]
 PU1KSX = K S X (Kilo Sierra X-ray) [-.- ... -..-]
 PU1KSY = K S Y (Kilo Sierra Yankee) [-.- ... -.--]
 PU1KTA = K T A (Kilo Tango Alfa) [-.- - .-]
 PU1KTB = K T B (Kilo Tango Bravo) [-.- - -...]
 PU1KTE = K T E (Kilo Tango Echo) [-.- - .]
 PU1KTF = K T F (Kilo Tango Foxtrot) [-.- - ..-.]
 PU1KTG = K T G (Kilo Tango Golf) [-.- - --.]
 PU1KTH = K T H (Kilo Tango Hotel) [-.- - ....]
 PU1KTI = K T I (Kilo Tango India) [-.- - ..]
 PU1KTK = K T K (Kilo Tango Kilo) [-.- - -.-]
 PU1KTN = K T N (Kilo Tango November) [-.- - -.]
 PU1KTP = K T P (Kilo Tango Papa) [-.- - .--.]
 PU1KTQ = K T Q (Kilo Tango Quebec) [-.- - --.-]
 PU1KTR = K T R (Kilo Tango Romeo) [-.- - .-.]
 PU1KTU = K T U (Kilo Tango Uniform) [-.- - ..-]
 PU1KTZ = K T Z (Kilo Tango Zulu) [-.- - --..]
 PU1KUA = K U A (Kilo Uniform Alfa) [-.- ..- .-]
 PU1KUB = K U B (Kilo Uniform Bravo) [-.- ..- -...]
 PU1KUC = K U C (Kilo Uniform Charlie) [-.- ..- -.-.]
 PU1KUD = K U D (Kilo Uniform Delta) [-.- ..- -..]
 PU1KUE = K U E (Kilo Uniform Echo) [-.- ..- .]
 PU1KUF = K U F (Kilo Uniform Foxtrot) [-.- ..- ..-.]
 PU1KUG = K U G (Kilo Uniform Golf) [-.- ..- --.]
 PU1KUH = K U H (Kilo Uniform Hotel) [-.- ..- ....]
 PU1KUI = K U I (Kilo Uniform India) [-.- ..- ..]
 PU1KUJ = K U J (Kilo Uniform Juliett) [-.- ..- .---]
 PU1KUK = K U K (Kilo Uniform Kilo) [-.- ..- -.-]
 PU1KUL = K U L (Kilo Uniform Lima) [-.- ..- .-..]
 PU1KUM = K U M (Kilo Uniform Mike) [-.- ..- --]
 PU1KUN = K U N (Kilo Uniform November) [-.- ..- -.]
 PU1KUO = K U O (Kilo Uniform Oscar) [-.- ..- ---]
 PU1KUP = K U P (Kilo Uniform Papa) [-.- ..- .--.]
 PU1KUQ = K U Q (Kilo Uniform Quebec) [-.- ..- --.-]
 PU1KUR = K U R (Kilo Uniform Romeo) [-.- ..- .-.]
 PU1KUS = K U S (Kilo Uniform Sierra) [-.- ..- ...]
 PU1KUT = K U T (Kilo Uniform Tango) [-.- ..- -]
 PU1KUU = K U U (Kilo Uniform Uniform) [-.- ..- ..-]
 PU1KUV = K U V (Kilo Uniform Victor) [-.- ..- ...-]
 PU1KUW = K U W (Kilo Uniform Whiskey) [-.- ..- .--]
 PU1KUX = K U X (Kilo Uniform X-ray) [-.- ..- -..-]
