CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
176,U00B0,7,"2,46",PRETO 100%,Estratificação cruzada de baixo ângulo
177,U00B1,7,"2,46",PRETO 100%,Estratificação cruzada espinha-de-peixe
178,U00B2,7,"2,46",PRETO 100%,Estratificação cruzada hummocky
179,U00B3,"5,67",2,PRETO 100%,Estratificação cruzada sigmoidal
180,U00B4,"5,39","1,9",PRETO 100%,Estratificação cruzada swaley
181,U00B5,7,"2,46",PRETO 100%,Estratificação cruzada tabular
182,U00B6,7,"2,46",PRETO 100%,Estratificação cruzada tangencial
183,U00B7,"5,67",2,PRETO 100%,Estratificação de maré
198,U00C6,6,"2,11",PRETO 100%,Estratificação plano-paralela
186,U00BA,7,"2,46",PRETO 100%,Estrutura convoluta
184,U00B8,"5,67",2,PRETO 100%,Estrutura de bola e almofada
187,U00BB,4,"1,41",PRETO 100%,Estrutura de corte e preenchimento
188,U00BC,7,"2,46",PRETO 100%,Estrutura de escorregamento
185,U00B9,7,"2,46",PRETO 100%,Estrutura em chama
189,U00BD,7,"2,46",PRETO 100%,Estrutura em pilar
190,U00BE,"5,67",2,PRETO 100%,Estrutura em pires
191,U00BF,7,"2,46",PRETO 100%,Filme de argila
192,U00C0,7,"2,46",PRETO 100%,Geodo
193,U00C1,8,"2,82",PRETO 100%,Gradação inversa
194,U00C2,8,"2,82",PRETO 100%,Gradação normal
195,U00C3,7,"2,46",PRETO 100%,Greta de contração
196,U00C4,5,"1,76",PRETO 100%,Imbricação de seixos
197,U00C5,"12,76","4,5",PRETO 100%,Intraclastos
199,U00C7,6,"2,11",PRETO 100%,Laminação flaser
200,U00C8,6,"2,11",PRETO 100%,Laminação linsen
201,U00C9,6,"2,11",PRETO 100%,Laminação wavy
202,U00CA,11,"3,88",PRETO 100%,Lineação de partição
203,U00CB,8,"2,82",PRETO 100%,Maciço
205,U00CD,6,"2,11",PRETO 100%,Marca de chuva
206,U00CE,7,"2,46",PRETO 100%,Marca de estria glacial
204,U00CC,"7,09","2,5",PRETO 100%,Marca de carga
208,U00D0,7,"2,46",PRETO 100%,Marca ondulada assimétrica
209,U00D1,7,"2,46",PRETO 100%,Marca ondulada cavalgante
210,U00D2,7,"2,46",PRETO 100%,Marca ondulada cavalgante crítica
211,U00D3,7,"2,46",PRETO 100%,Marca ondulada cavalgante em fase
212,U00D4,8,"2,83",PRETO 100%,Marca ondulada cavalgante subcrítica
213,U00D5,"6,24","2,2",PRETO 100%,Marca ondulada cavalgante supercrítica
207,U00CF,"4,5","1,58",PRETO 100%,Marca ondulada de adesão
214,U00D6,4,"1,41",PRETO 100%,Marca ondulada de interferência
215,U00D7,"5,39","1,9",PRETO 100%,Marca ondulada simétrica
217,U00D9,7,"2,46",PRETO 100%,Mud couplet (par de argila)
219,U00DB,11,"3,88",PRETO 100%,Roseta
220,U00DC,7,"2,46",PRETO 100%,Seixo pingado
221,U00DD,11,"3,88",PRETO 100%,Tepee
222,U00DE,8,"2,83",PRETO 100%,Vulcão de lama
216,U00D8,,,PRETO 100%,Marca de sola
