CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
70,U0046,6,"2,11",PRETO 100%,Madeira fóssil,,,CPRM_Paleontology.otf
71,U0047,"9,92","3,5",PRETO 100%,Mamíferos,,,CPRM_Paleontology.otf
72,U0048,"15,59","5,5",PRETO 100%,Microfósseis,,,CPRM_Paleontology.otf
73,U0049,10,"3,52",PRETO 100%,Moluscos,,,CPRM_Paleontology.otf
74,U004A,8,"2,82",PRETO 100%,Nanofósseis calcário,,,CPRM_Paleontology.otf
75,U004B,10,"3,52",PRETO 100%,Nautilóides,,,CPRM_Paleontology.otf
76,U004C,7,"2,46",PRETO 100%,Ostracodes,,,CPRM_Paleontology.otf
77,U004D,5,"1,76",PRETO 100%,Palinomorfos,,,CPRM_Paleontology.otf
78,U004E,"11,34",4,PRETO 100%,Pegadas,,,CPRM_Paleontology.otf
79,U004F,9,"3,17",PRETO 100%,Peixes,,,CPRM_Paleontology.otf
80,U0050,"9,92","3,5",PRETO 100%,Pelecípodes (Bivalve),,,CPRM_Paleontology.otf
81,U0051,8,"2,82",PRETO 100%,Perfurações,,,CPRM_Paleontology.otf
82,U0052,11,"3,88",PRETO 100%,Plantas,,,CPRM_Paleontology.otf
83,U0053,"11,34",4,PRETO 100%,Pólen e/ou esporos,,,CPRM_Paleontology.otf
84,U0054,"11,34",4,PRETO 100%,Quitinozoários,,,CPRM_Paleontology.otf
85,U0055,"14,17",5,PRETO 100%,Radiolários,,,CPRM_Paleontology.otf
86,U0056,"12,76","4,5",PRETO 100%,Raízes,,,CPRM_Paleontology.otf
87,U0057,10,"3,52",PRETO 100%,Répteis,,,CPRM_Paleontology.otf
